name	display_name	function_flags	group	input_names	output_flags	output_names	parameters
HT_DCPERIOD	Hilbert Transform - Dominant Cycle Period	['Function has an unstable period']	Cycle Indicators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
HT_DCPHASE	Hilbert Transform - Dominant Cycle Phase	['Function has an unstable period']	Cycle Indicators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
HT_PHASOR	Hilbert Transform - Phasor Components	['Function has an unstable period']	Cycle Indicators	OrderedDict([('price', 'close')])	OrderedDict([('inphase', ['Line']), ('quadrature', ['Dashed Line'])])	['inphase', 'quadrature']	OrderedDict()
HT_SINE	Hilbert Transform - SineWave	['Function has an unstable period']	Cycle Indicators	OrderedDict([('price', 'close')])	OrderedDict([('sine', ['Line']), ('leadsine', ['Dashed Line'])])	['sine', 'leadsine']	OrderedDict()
HT_TRENDMODE	Hilbert Transform - Trend vs Cycle Mode	['Function has an unstable period']	Cycle Indicators	OrderedDict([('price', 'close')])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
ADD	Vector Arithmetic Add		Math Operators	OrderedDict([('price0', 'high'), ('price1', 'low')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
DIV	Vector Arithmetic Div		Math Operators	OrderedDict([('price0', 'high'), ('price1', 'low')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
MAX	Highest value over a specified period	['Output scale same as input']	Math Operators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 30)])
MAXINDEX	Index of highest value over a specified period		Math Operators	OrderedDict([('price', 'close')])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict([('timeperiod', 30)])
MIN	Lowest value over a specified period	['Output scale same as input']	Math Operators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 30)])
MININDEX	Index of lowest value over a specified period		Math Operators	OrderedDict([('price', 'close')])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict([('timeperiod', 30)])
MINMAX	Lowest and highest values over a specified period	['Output scale same as input']	Math Operators	OrderedDict([('price', 'close')])	OrderedDict([('min', ['Line']), ('max', ['Line'])])	['min', 'max']	OrderedDict([('timeperiod', 30)])
MINMAXINDEX	Indexes of lowest and highest values over a specified period		Math Operators	OrderedDict([('price', 'close')])	OrderedDict([('minidx', ['Line']), ('maxidx', ['Line'])])	['minidx', 'maxidx']	OrderedDict([('timeperiod', 30)])
MULT	Vector Arithmetic Mult		Math Operators	OrderedDict([('price0', 'high'), ('price1', 'low')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
SUB	Vector Arithmetic Substraction		Math Operators	OrderedDict([('price0', 'high'), ('price1', 'low')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
SUM	Summation		Math Operators	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 30)])
ATR	Average True Range	['Function has an unstable period']	Volatility Indicators	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
NATR	Normalized Average True Range	['Function has an unstable period']	Volatility Indicators	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
TRANGE	True Range		Volatility Indicators	OrderedDict([('prices', ['high', 'low', 'close'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
BBANDS	Bollinger Bands	['Output scale same as input']	Overlap Studies	OrderedDict([('price', 'close')])	OrderedDict([('upperband', ['Values represent an upper limit']), ('middleband', ['Line']), ('lowerband', ['Values represent a lower limit'])])	['upperband', 'middleband', 'lowerband']	OrderedDict([('timeperiod', 5), ('nbdevup', 2), ('nbdevdn', 2), ('matype', 0)])
DEMA	Double Exponential Moving Average	['Output scale same as input']	Overlap Studies	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 30)])
EMA	Exponential Moving Average	['Output scale same as input', 'Function has an unstable period']	Overlap Studies	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 30)])
HT_TRENDLINE	Hilbert Transform - Instantaneous Trendline	['Output scale same as input', 'Function has an unstable period']	Overlap Studies	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
KAMA	Kaufman Adaptive Moving Average	['Output scale same as input', 'Function has an unstable period']	Overlap Studies	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 30)])
MA	Moving average	['Output scale same as input']	Overlap Studies	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 30), ('matype', 0)])
MAMA	MESA Adaptive Moving Average	['Output scale same as input', 'Function has an unstable period']	Overlap Studies	OrderedDict([('price', 'close')])	OrderedDict([('mama', ['Line']), ('fama', ['Dashed Line'])])	['mama', 'fama']	OrderedDict([('fastlimit', 0.5), ('slowlimit', 0.05)])
MAVP	Moving average with variable period	['Output scale same as input']	Overlap Studies	OrderedDict([('price', 'close'), ('periods', 'periods')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('minperiod', 2), ('maxperiod', 30), ('matype', 0)])
MIDPOINT	MidPoint over period	['Output scale same as input']	Overlap Studies	OrderedDict([('price', 'close')])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('timeperiod', 14)])
